"Участок,ФИО судьи,Адрес,Телефон,Район,""Сотрудник"",Почта"
"117,ДОЛА Елена Петровна,""ул. Глеба Успенского, д. 5, литера Б,  Санкт-Петербург, 196084"",""2465324, 2465318"",МОСКОВСКИЙ,Ястреб Елена Владимировна,yastreb@zakon.gov.spb.ru"
"118,КОБЕНКО  Ольга Валентиновна,""Новоизмайловский пр., д. 67, к.2,  Санкт-Петербург, 196247"",""5739780, 2465937"",МОСКОВСКИЙ,Ястреб Елена Владимировна,yastreb@zakon.gov.spb.ru"
"119,БУЯЛО Ирина Олеговна,""ул. Благодатная, д. 34,  Санкт-Петербург,196006"",""2466871, 2466872"",МОСКОВСКИЙ,Ястреб Елена Владимировна,yastreb@zakon.gov.spb.ru"
"120,ПИРОГОВА  Наталья Александровна,""Московский пр., д. 125, литера Б и В,  Санкт-Петербург, 196084"",""2465313, 2465314"",МОСКОВСКИЙ,Ястреб Елена Владимировна,yastreb@zakon.gov.spb.ru"
"121,МИНИНА  Ольга Валериевна,""ул. Глеба Успенского, д. 5, литера Б,  Санкт-Петербург, 196084"",""2465322, 2465498"",МОСКОВСКИЙ,Ястреб Елена Владимировна,yastreb@zakon.gov.spb.ru"
"122,КАРАСЕВА  Наталья Александровна,""ул. Благодатная, д. 34,  Санкт-Петербург,196006"",""2466874, 2466875"",МОСКОВСКИЙ,Ястреб Елена Владимировна,yastreb@zakon.gov.spb.ru"
"123,МАРКОВА   Дарья Александровна,""Московский пр., д. 125, литера Б и В,  Санкт-Петербург, 196084"","", 2465309"",МОСКОВСКИЙ,Ястреб Елена Владимировна,yastreb@zakon.gov.spb.ru"
"124,БОРИСЕНКО  Анна Сергеевна,""Московский пр., д. 125, литера Б и В,  Санкт-Петербург, 196084"",""2465312, 2465311"",МОСКОВСКИЙ,Ястреб Елена Владимировна,yastreb@zakon.gov.spb.ru"
"125,ТАРАСЕВИЧ Юлия Валерьевна,""ул. Глеба Успенского, д. 5, литера Б,  Санкт-Петербург, 196084"",""2465497, 2465320"",МОСКОВСКИЙ,Максимова Юлия Васиельевна,u.maksimova@zakon.gov.spb.ru"
"126,ШАГОВИК Ирина Александровна,""ул. Глеба Успенского, д. 5, литера Б,  Санкт-Петербург, 196084"",""2465323, 2465326"",МОСКОВСКИЙ,Максимова Юлия Васиельевна,u.maksimova@zakon.gov.spb.ru"
"127,АФАНАСЬЕВА Оксана Ивановна,""Московский пр., д. 125, литера Б и В,  Санкт-Петербург, 196084"",""2465306, 2465307"",МОСКОВСКИЙ,Максимова Юлия Васиельевна,u.maksimova@zakon.gov.spb.ru"
"128,АЛЕКСАНДРОВА  Елена Сергеевна,""ул. Благодатная, д. 34,  Санкт-Петербург,196006"",""2466878, 2466880"",МОСКОВСКИЙ,Максимова Юлия Васиельевна,u.maksimova@zakon.gov.spb.ru"
"129,АНДРЕЕВА  Екатерина Валериевна,""ул. Крупской, д. 9, литера А,  Санкт-Петербург, 192029"",""2413913, 2413914"",НЕВСКИЙ,Максимова Юлия Васиельевна,u.maksimova@zakon.gov.spb.ru"
"130,РЫСЮК Валентина Юрьевна,""пр. Обуховской обороны, д. 121,  литера А, Санкт-Петербург,192029"",""2465328, 2465329"",НЕВСКИЙ,Максимова Юлия Васиельевна,u.maksimova@zakon.gov.spb.ru"
"131, ОРЛОВА  Вероника Владимировна,""ул. Крупской, д. 9, литера А,  Санкт-Петербург,192029"",""2413901, 24139022413902"",НЕВСКИЙ,Максимова Юлия Васиельевна,u.maksimova@zakon.gov.spb.ru"
"132,БЕКОВА  Юлия Николаевна,""ул. Крупской, д. 9, литера А,  Санкт-Петербург,192029"",""2413903, 2413904"",НЕВСКИЙ,Максимова Юлия Васиельевна,u.maksimova@zakon.gov.spb.ru"
"133, РАЛДУГИНА  Оксана Геннадьевна,""ул. Крупской, д. 9, литера А,  Санкт-Петербург,192029"",""2413905, 2413906"",НЕВСКИЙ,Максимова Юлия Васиельевна,u.maksimova@zakon.gov.spb.ru"
"134,БАРКАЛОВ  Сергей Васильевич,""ул. Крупской, д. 9, литера А,  Санкт-Петербург,192029"",""2413907, 2413908"",НЕВСКИЙ,Максимова Юлия Васиельевна,u.maksimova@zakon.gov.spb.ru"
"135,ГАБДУЛЛИНА  Анна Рустамовна,""ул. Крупской, д. 9, литера А, Санкт-Петербург,192029"",""2413909, 2413910"",НЕВСКИЙ,Максимова Юлия Васиельевна,u.maksimova@zakon.gov.spb.ru"
"136,ЧЕРНЕЦКАЯ  Майя Станиславовна,""ул. Крупской, д. 9, литера А,  Санкт-Петербург,192029"",""2413911, 2413912"",НЕВСКИЙ,Максимова Юлия Васиельевна,u.maksimova@zakon.gov.spb.ru"
"137,КОНИК  Светлана Владимировна,""пр. Обуховской обороны, д. 121,  литера А, Санкт-Петербург,192029"",""2465331, 2465332"",НЕВСКИЙ,Максимова Юлия Васиельевна,u.maksimova@zakon.gov.spb.ru"
"138,РУСАКОВА  Анастасия Сергеевна,""пр. Обуховской обороны, д. 121,  литера А, Санкт-Петербург,192029"",""2465334, 2465335"",НЕВСКИЙ,Максимова Юлия Васиельевна,u.maksimova@zakon.gov.spb.ru"
"139,УРСЕГОВА  Елизавета Евгеньевна,""ул. Крупской, д. 9, литера А,  Санкт-Петербург,192029"",""2413915, 2413916"",НЕВСКИЙ,Максимова Юлия Васиельевна,u.maksimova@zakon.gov.spb.ru"
"140,ОГАНЕСЯН  Мгер Артурович,""ул. Крупской, д. 9, литера А,  Санкт-Петербург,192029"",""2413917, 2413918"",НЕВСКИЙ,Максимова Юлия Васиельевна,u.maksimova@zakon.gov.spb.ru"
"141,КАМАЛЬДИНОВ Олег Наильевич,""ул. Крупской, д. 9, литера А,  Санкт-Петербург,192029"",""2413919, 2413920"",НЕВСКИЙ,Максимова Юлия Васиельевна,u.maksimova@zakon.gov.spb.ru"
"142,ГВОЗДЕВА-ТРИНК Наталья Александровна,""ул. Крупской, д. 9, литера А,  Санкт-Петербург,192029"",""2413921, 2413922"",НЕВСКИЙ,Максимова Юлия Васиельевна,u.maksimova@zakon.gov.spb.ru"
"143,СИМОНЯН  Артур Мартынович,""ул. Крупской, д. 9, литера А,  Санкт-Петербург,192029"",""2413923, 2413924"",НЕВСКИЙ,Максимова Юлия Васиельевна,u.maksimova@zakon.gov.spb.ru"
"144,БЕРЕЗИНА  Татьяна Викторовна,""ул. Крупской, д. 9, литера А,  Санкт-Петербург,192029"",""2413925, 2413926"",НЕВСКИЙ,Максимова Юлия Васиельевна,u.maksimova@zakon.gov.spb.ru"
"145,СОЛОМАТИНА  Галина Михайловна,""ул. Крупской, д. 9, литера А,  Санкт-Петербург,192029"",""2413927, 2413928"",НЕВСКИЙ,Максимова Юлия Васиельевна,u.maksimova@zakon.gov.spb.ru"
"146,ИВАНОВ Дмитрий Владимирович,""Большая Разночинная ул., д. 23, литера Б, Санкт-Петербург, 197110"",""2465364, 2465493"",ПЕТРОГРАДСКИЙ,Максимова Юлия Васиельевна,u.maksimova@zakon.gov.spb.ru"
"147,БАЙЫР Айзана Юрьевна,""Школьная ул., д. 2, к. 2, зал № 2, г. Пушкин, Санкт-Петербург, 196607"",""2465815, 2413931"",ПУШКИНСКИЙ,Максимова Юлия Васиельевна,u.maksimova@zakon.gov.spb.ru"
"148,РАСКОПИНА   Дарья Витальевна,""ул. Крупской, д. 9, литера А,  Санкт-Петербург,192029"",""2413932, 2413933"",НЕВСКИЙ,Максимова Юлия Васиельевна,u.maksimova@zakon.gov.spb.ru"
"149,ПАВЛОВА Ольга Сергеевна,""ул. Крупской, д. 9, литера А, Санкт-Петербург,192029"",""2413934, 2413935"",НЕВСКИЙ,Максимова Юлия Васиельевна,u.maksimova@zakon.gov.spb.ru"
"150,БОГУЛА Юлия Игоревна,""Школьная ул., д. 23, литера А, г. Пушкин, Санкт-Петербург,196607"",""2465343, 2465349"",ПУШКИНСКИЙ,Максимова Юлия Васиельевна,u.maksimova@zakon.gov.spb.ru"
"151, ДАРИЧЕВА  Любовь Андреевна,""Большая Разночинная ул., д. 23, литера Б, Санкт-Петербург, 197110"","", 2415130"",ПЕТРОГРАДСКИЙ,Максимова Юлия Васиельевна,u.maksimova@zakon.gov.spb.ru"
"152,ПОПОВА Анна Витальевна,""Большая Разночинная ул., д. 23, литера Б, Санкт-Петербург, 197110"",""2465929, 2465928"",ПЕТРОГРАДСКИЙ,Максимова Юлия Васиельевна,u.maksimova@zakon.gov.spb.ru"
"153,ЕРМОЛИНА Елена Константиновна,""Большая Разночинная ул., д. 23, литера Б, Санкт-Петербург, 197110"","", 2415138"",ПЕТРОГРАДСКИЙ,Максимова Юлия Васиельевна,u.maksimova@zakon.gov.spb.ru"
"154,ПРОКОШКИНА Марина Викторовна,""Большая Разночинная ул., д. 23, литера Б, Санкт-Петербург, 197110"",""2465924, 2415134"",ПЕТРОГРАДСКИЙ,Максимова Юлия Васиельевна,u.maksimova@zakon.gov.spb.ru"
"155,БОГДАНОВА Екатерина Олеговна,""Большая Разночинная ул., д. 23, литера Б, Санкт-Петербург, 197110"",""2465933, 2415141"",ПЕТРОГРАДСКИЙ,Максимова Юлия Васиельевна,u.maksimova@zakon.gov.spb.ru"
"156,СТРОМОВА Алина Александровна,""Большая Разночинная ул., д. 23, литера Б, Санкт-Петербург, 197110"",""2415140, 2415135"",ПЕТРОГРАДСКИЙ,Максимова Юлия Васиельевна,u.maksimova@zakon.gov.spb.ru"
"157,ГРИГОРЬЕВА Галина Андреевна,""ул. Фронтовая, д. 7, п. Стрельна, Санкт-Петербург, 198515"",""2466852, 2466853"",ПЕТРОДВОРЦОВЫЙ,Максимова Юлия Васиельевна,u.maksimova@zakon.gov.spb.ru"
"158,ГОРБАЧЕВА Анна Владимировна,""Бульвар Разведчика, д. 10, к. 3, г. Петродворец, Санкт-Петербург, 198516"",""2465995, 2465996"",ПЕТРОДВОРЦОВЫЙ,Максимова Юлия Васиельевна,u.maksimova@zakon.gov.spb.ru"
"159,СКОРОМНИКОВА  Мария Олеговна,""ул. Ботаническая, д. 18, корп. 4, г. Петродворец, Санкт-Петербург, 198504"",""2466802, 2466800"",ПЕТРОДВОРЦОВЫЙ,Максимова Юлия Васиельевна,u.maksimova@zakon.gov.spb.ru"
"160,ФЕДОТОВА  Татьяна Александровна,""Сердобольская ул., д.73/27, литера А, Санкт-Петербург,197342"",""24652802465281, 2465282"",ПРИМОРСКИЙ,Максимова Юлия Васиельевна,u.maksimova@zakon.gov.spb.ru"
"161, ГОЛУБЕВА  Ольга Рудольфовна,""Омская ул., д.21, литера А, Санкт-Петербург,197343"",""4922736, 2465201"",ПРИМОРСКИЙ,Максимова Юлия Васиельевна,u.maksimova@zakon.gov.spb.ru"
"162,ВАСИЛЬЕВА Ирина Анатольевна,""  ул. Долгоозерная, д.3, корп.2, литера А,  Санкт-Петербург, 197373 "",""2465267, 4098479"",ПРИМОРСКИЙ,Максимова Юлия Васиельевна,u.maksimova@zakon.gov.spb.ru"
"163,ФРУНЗЕ Юлия Михайловна,"" Омская ул., д.21, литера А, Санкт-Петербург,197343 "",""2465208, 2465209"",ПРИМОРСКИЙ,Максимова Юлия Васиельевна,u.maksimova@zakon.gov.spb.ru"
"164,ДВОРЯНИНОВА Елена Евгеньевна,""  Сердобольская ул., д.73/27, литера А, Санкт-Петербург,197342 "",""2465288, 4961948"",ПРИМОРСКИЙ,Максимова Юлия Васиельевна,u.maksimova@zakon.gov.spb.ru"
"165,РЕВВА Ольга Владимировна,""  Сердобольская ул., д.73/27, литера А, Санкт-Петербург,197342 "",2465283,ПРИМОРСКИЙ,Максимова Юлия Васиельевна,u.maksimova@zakon.gov.spb.ru"
"166,ДЕМЧЕНКО  Светлана Станиславовна,""  ул. Долгоозерная, д. 3, корп. 2, литера А, Санкт-Петербург, 197373 "",""2465268, 2465269"",ПРИМОРСКИЙ,Максимова Юлия Васиельевна,u.maksimova@zakon.gov.spb.ru"
"167,ЛЬВОВА Олеся Абдулгасановна,""  ул. Маршала Новикова, д. 13, лит. А,  Санкт-Петербург, 197349"",""2460720, 2460721"",ПРИМОРСКИЙ,Максимова Юлия Васиельевна,u.maksimova@zakon.gov.spb.ru"
"168,ЧУРБАСОВА  Виктория Сергеевна,"" Серебристый бульвар, д. 13, корп. 1,  литера А, Санкт-Петербург, 197227 "",""2465275, 2465274"",ПРИМОРСКИЙ,Костыгов Алексей Анатольевич,kostygov@zakon.gov.spb.ru"
"169,ЧЕРНЯВСКАЯ Елена Александровна,""  Богатырский пр., д. 57, корп. 1, литера Б,  Санкт-Петербург, 197372"",""2465276, 2465278"",ПРИМОРСКИЙ,Костыгов Алексей Анатольевич,kostygov@zakon.gov.spb.ru"
"170,АНДРЕЕВА Алина Владимировна,"" Омская ул., д. 21, литера А,  Санкт-Петербург, 197343"",""2465214, 2465215"",ПРИМОРСКИЙ,Костыгов Алексей Анатольевич,kostygov@zakon.gov.spb.ru"
"171,КАЛАШНИКОВА Светлана Алексеевна,""  пр. Королева, д. 44, корп. 2, литера А, "",""2466815, 2466816"",ПРИМОРСКИЙ,Костыгов Алексей Анатольевич,kostygov@zakon.gov.spb.ru"
"172,ТРИШИНА Любовь Александровна,""Омская ул., д. 21, литера А, Санкт-Петербург, 197343"",""2465213, 2465204"",ПРИМОРСКИЙ,Костыгов Алексей Анатольевич,kostygov@zakon.gov.spb.ru"
"173,ГУСЕВА Елена Викторовна,""ул. Маршала Новикова, д. 13, лит. А, Санкт-Петербург, 197349"",""2460723, 2460724"",ПРИМОРСКИЙ,Костыгов Алексей Анатольевич,kostygov@zakon.gov.spb.ru"
"174,БОБРОВА Ольга Андреевна,""Омская ул., д. 21, литера А, Санкт-Петербург, 197343"",""2465217, 2465218"",ПРИМОРСКИЙ,Костыгов Алексей Анатольевич,kostygov@zakon.gov.spb.ru"
"175,МОРОЗОВА Василина Анатольевна,""Омская ул., д. 21, литера А, Санкт-Петербург, 197343"",""4928005, 2465420"",ПРИМОРСКИЙ,Костыгов Алексей Анатольевич,kostygov@zakon.gov.spb.ru"
"176,КАРАМОВА Марта Рамиковна,""Школьная ул., д. 23, литера А, г. Пушкин, Санкт-Петербург,196607"",""2466861, 2465346"",ПУШКИНСКИЙ,Костыгов Алексей Анатольевич,kostygov@zakon.gov.spb.ru"
"177,ИЛЬИНА Ирина Львовна,""Школьная ул., д. 23, литера А, г. Пушкин, Санкт-Петербург,196607"",""2465349, 2466862"",ПУШКИНСКИЙ,Костыгов Алексей Анатольевич,kostygov@zakon.gov.spb.ru"
"178,ГУЧИНСКИЙ Игорь Иванович,""Школьная ул., д. 23, литера А, г. Пушкин, Санкт-Петербург,196607"",""2465353, 2465354"",ПУШКИНСКИЙ,Костыгов Алексей Анатольевич,kostygov@zakon.gov.spb.ru"
"179,ГИРИНА Елена Николаевна,""Школьная ул., д. 23, литера А, г. Пушкин, Санкт-Петербург,196607"",""2466864, 2465340"",ПУШКИНСКИЙ,Костыгов Алексей Анатольевич,kostygov@zakon.gov.spb.ru"
"180,ЯКИМОВА  Людмила Владимировна,""Школьная ул., д. 23, литера А, г. Пушкин, Санкт-Петербург,196607"",""2465342, 2465338"",ПУШКИНСКИЙ,Костыгов Алексей Анатольевич,kostygov@zakon.gov.spb.ru"
"181,БУРВЯШОВА Виктория Викторовна,""ул. Самойловой, д. 12, Санкт-Петербург, 192102"",""2465402, 2465403"",ФРУНЗЕНСКИЙ,Костыгов Алексей Анатольевич,kostygov@zakon.gov.spb.ru"
"182,ДОБРЯНЦЕВА Оксана Анатольевна,""ул. Самойловой, д. 12, Санкт-Петербург, 192102"",""2465404, 2465405"",ФРУНЗЕНСКИЙ,Костыгов Алексей Анатольевич,kostygov@zakon.gov.spb.ru"
"183,ЛОБАНОВ Евгений Владимирович,""ул. Самойловой, д. 12, Санкт-Петербург, 192102"",""2465406, 2465407"",ФРУНЗЕНСКИЙ,Костыгов Алексей Анатольевич,kostygov@zakon.gov.spb.ru"
"184,СЕРДЮКОВА Юлия Сергеевна,""ул. Самойловой, д. 12, Санкт-Петербург, 192102"",""2465409, 2465410"",ФРУНЗЕНСКИЙ,Костыгов Алексей Анатольевич,kostygov@zakon.gov.spb.ru"
"185,СОНИНА Мария Николаевна,""ул. Самойловой, д. 12, Санкт-Петербург, 192102"",""2465414, 2465413"",ФРУНЗЕНСКИЙ,Костыгов Алексей Анатольевич,kostygov@zakon.gov.spb.ru"
"186,КОРОГОДОВ Дмитрий Анатольевич,""ул. Самойловой, д. 12, Санкт-Петербург, 192102"",""2465415, 2465416"",ФРУНЗЕНСКИЙ,Костыгов Алексей Анатольевич,kostygov@zakon.gov.spb.ru"
"187,БЕВЗА Данил Михайлович,""ул. Самойловой, д. 12, Санкт-Петербург, 192102"",""2465418, 2465419"",ФРУНЗЕНСКИЙ,Костыгов Алексей Анатольевич,kostygov@zakon.gov.spb.ru"
"188,УШАРНОВА Марина Игоревна,""ул. Самойловой, д. 12, Санкт-Петербург, 192102"",""2465422, 2465423"",ФРУНЗЕНСКИЙ,Костыгов Алексей Анатольевич,kostygov@zakon.gov.spb.ru"
"189,ГОРЯЧЕВ Дмитрий Владимирович,""ул. Самойловой, д. 12, Санкт-Петербург, 192102"",""2465450, 2465425"",ФРУНЗЕНСКИЙ,Костыгов Алексей Анатольевич,kostygov@zakon.gov.spb.ru"
"190,ЛЕБЕДЕВА Софья Леовна,""ул. Самойловой, д. 12, Санкт-Петербург, 192102"",""2465427, 2465428"",ФРУНЗЕНСКИЙ,Костыгов Алексей Анатольевич,kostygov@zakon.gov.spb.ru"
"191,РУНОВ Дмитрий Юрьевич,""ул. Самойловой, д.12, Санкт-Петербург, 192102"",""2465453, 2465454"",ФРУНЗЕНСКИЙ,Костыгов Алексей Анатольевич,kostygov@zakon.gov.spb.ru"
"192,БЛАЖНОВ  Александр Александрович,""ул. Самойловой, д. 12, Санкт-Петербург, 192102"",""2465451, 2465452"",ФРУНЗЕНСКИЙ,Костыгов Алексей Анатольевич,kostygov@zakon.gov.spb.ru"
"193,КУРСКИЙ Анатолий Алексеевич,""ул. Самойловой, д. 12, Санкт-Петербург, 192102"",""2465435, 2465434"",ФРУНЗЕНСКИЙ,Костыгов Алексей Анатольевич,kostygov@zakon.gov.spb.ru"
"194,ТАРАСЕНКО Егор Анатольевич,""ул. Самойловой, д. 12, Санкт-Петербург, 192102"",""2465455, 2465437"",ФРУНЗЕНСКИЙ,Костыгов Алексей Анатольевич,kostygov@zakon.gov.spb.ru"
"195,ЛИТВИН  Виктория Юрьевна,""ул. Самойловой, д. 12, Санкт-Петербург, 192102"",""2465439, 2465440"",ФРУНЗЕНСКИЙ,Костыгов Алексей Анатольевич,kostygov@zakon.gov.spb.ru"
"196,ФЕДОРОВА Жанна Анатольевна,""ул. Самойловой, д. 12, Санкт-Петербург, 192102"",2465442,ФРУНЗЕНСКИЙ,Костыгов Алексей Анатольевич,kostygov@zakon.gov.spb.ru"
"197,ГАВРИКОВ Сергей Николаевич,""ул. Самойловой, д. 12, Санкт-Петербург, 192102"",""2465444, 2465445"",ФРУНЗЕНСКИЙ,Костыгов Алексей Анатольевич,kostygov@zakon.gov.spb.ru"
"198,ЕГИОЯ Дмитрий Валерьевич,""ул. Самойловой, д. 12, Санкт-Петербург, 192102"",""2465447, 2465448"",ФРУНЗЕНСКИЙ,Костыгов Алексей Анатольевич,kostygov@zakon.gov.spb.ru"
"199,МАРДОЯН  Анастасия Евгеньевна,""Невский пр., д. 84-86, литера Б,  Санкт-Петербург, 191025"",""2465809, 7196297"",ЦЕНТРАЛЬНЫЙ,Костыгов Алексей Анатольевич,kostygov@zakon.gov.spb.ru"
"200,КРАСОТКИНА  Елена Владимировна,""пр. Чернышевского, д. 17, литера А,  Санкт-Петербург, 191123"",""4172010, 4172009"",ЦЕНТРАЛЬНЫЙ,Костыгов Алексей Анатольевич,kostygov@zakon.gov.spb.ru"
"201,ЯНЧУКОВ  Дмитрий Анатольевич,""ул. Чайковского, д. 4, литера А,  Санкт-Петербург, 191028"",2465806,ЦЕНТРАЛЬНЫЙ,Костыгов Алексей Анатольевич,kostygov@zakon.gov.spb.ru"
"202,ГЛАЗКОВА Татьяна Александровна,""Лиговский пр., д. 56, литера Е,  Санкт-Петербург, 191040"",""2465803, 2465802"",ЦЕНТРАЛЬНЫЙ,Костыгов Алексей Анатольевич,kostygov@zakon.gov.spb.ru"
"203,КУЗНЕЦОВ  Алексей Валерьевич,""наб. реки Фонтанки, д. 76, лит. В,  Санкт-Петербург, 191180"",""2466893, 2466894"",ЦЕНТРАЛЬНЫЙ,Костыгов Алексей Анатольевич,kostygov@zakon.gov.spb.ru"
"204, ЧАЛИГАВА   Нелли Романозовна,""ул. Красного Текстильщика, д. 9/11,  литера А, пом. 14Н, Санкт-Петербург, 191124"",""5766538, 5766524"",ЦЕНТРАЛЬНЫЙ,Костыгов Алексей Анатольевич,kostygov@zakon.gov.spb.ru"
"205,ПОЛУНИНА  Ольга Николаевна,""ул. Красного Текстильщика, д. 9/11,  литера А, пом. 14Н, Санкт-Петербург, 191124"",""5766587, 5766542"",ЦЕНТРАЛЬНЫЙ,Костыгов Алексей Анатольевич,kostygov@zakon.gov.spb.ru"
"206,ЕСЮТИН  Роман Валерьевич,""наб. реки Фонтанки, д. 76, лит. В,  Санкт-Петербург, 191180"",""2466897, 2466898"",ЦЕНТРАЛЬНЫЙ,Костыгов Алексей Анатольевич,kostygov@zakon.gov.spb.ru"
"207,КУСТАНОВИЧ  Жанна Евгеньевна,""4-я Советская ул., д. 26, литера А, Санкт-Петербург, 191036"",""2413287, 7102986"",ЦЕНТРАЛЬНЫЙ,Костыгов Алексей Анатольевич,kostygov@zakon.gov.spb.ru"
"208,ПАЛЬЯНОВА Анна Владимировна,"" 4-я Советская ул., д. 26, литера А,  Санкт-Петербург, 191036"",""2413288, 2413284"",ЦЕНТРАЛЬНЫЙ,Костыгов Алексей Анатольевич,kostygov@zakon.gov.spb.ru"
"209,НАСИННЫК Карина Александровна,""4-я Советская ул., д. 26, литера А, Санкт-Петербург, 191036"",""2413286, 2413285"",ЦЕНТРАЛЬНЫЙ,Костыгов Алексей Анатольевич,kostygov@zakon.gov.spb.ru"
"210,БАРАНОВА Елена Владимировна,""4-я Советская ул., д. 26, литера А, Санкт-Петербург, 191036"",""2413280, 2413282"",ЦЕНТРАЛЬНЫЙ,Костыгов Алексей Анатольевич,kostygov@zakon.gov.spb.ru"
"211,РОДИОНОВА Вероника Викторовна,""4-я Советская ул., д. 26, литера А, Санкт-Петербург, 191036"",""2413281, 2413283"",ЦЕНТРАЛЬНЫЙ,Костыгов Алексей Анатольевич,kostygov@zakon.gov.spb.ru"
